trace,instructions,llc_accesses,llc_misses,apki,mpki
403.gcc-16B,549873128,36845708,3479348,67.0077,6.3275
410.bwaves-1963B,546922701,10716808,9806649,19.5947,17.9306
429.mcf-22B,549364581,25523685,10779410,46.4604,19.6216
433.milc-127B,547464357,14908693,10844212,27.2323,19.8081
436.cactusADM-1804B,542592561,3683148,1423881,6.7881,2.6242
437.leslie3d-134B,547444447,5132723,2953313,9.3758,5.3947
445.gobmk-30B,547487552,2053723,851576,3.7512,1.5554
450.soplex-92B,549345840,23178462,1973508,42.1928,3.5925
456.hmmer-327B,547444835,2943230,138029,5.3763,0.2521
459.GemsFDTD-765B,547603461,7199888,4469792,13.148,8.1625
462.libquantum-714B,549588050,22938264,14564067,41.7372,26.5
470.lbm-1274B,549499815,28745866,8392542,52.3128,15.2731
471.omnetpp-188B,549078911,21190884,6998530,38.5935,12.7459
473.astar-359B,549775889,49570423,3581967,90.1648,6.5153
481.wrf-196B,549997863,3224788,1227832,5.8633,2.2324
482.sphinx3-234B,544603988,7303655,258296,13.4109,0.4743
483.xalancbmk-127B,549823670,18401749,2616165,33.4685,4.7582
602.gcc_s-734B,549168900,4984688,1993611,9.0768,3.6302
603.bwaves_s-1740B,547609723,10869535,10546080,19.8491,19.2584
605.mcf_s-472B,548113758,33043322,7392287,60.2855,13.4868
607.cactuBSSN_s-2421B,546067934,7387938,4032483,13.5293,7.3846
619.lbm_s-2676B,549561897,26692302,14769757,48.5701,26.8755
620.omnetpp_s-141B,548031658,16583279,5174287,30.2597,9.4416
621.wrf_s-6673B,545155327,11559925,2697459,21.2048,4.9481
623.xalancbmk_s-10B,546411021,17966545,160522,32.881,0.2938
627.cam4_s-490B,545292575,9257423,1211544,16.977,2.2218
628.pop2_s-17B,543816758,5204773,1229786,9.5708,2.2614
649.fotonik3d_s-1176B,549029350,10066918,4872014,18.3358,8.8739
654.roms_s-293B,549385944,7660151,5109657,13.9431,9.3007
