combo_id,trace_1,trace_1_apki,trace_2,trace_2_apki,trace_3,trace_3_apki,trace_4,trace_4_apki,max_apki,has_high_apki
1,403.gcc-16B,67.0077,433.milc-127B,27.2323,607.cactuBSSN_s-2421B,13.5293,621.wrf_s-6673B,21.2048,67.0077,True
2,436.cactusADM-1804B,6.7881,450.soplex-92B,42.1928,456.hmmer-327B,5.3763,621.wrf_s-6673B,21.2048,42.1928,True
3,433.milc-127B,27.2323,619.lbm_s-2676B,48.5701,621.wrf_s-6673B,21.2048,654.roms_s-293B,13.9431,48.5701,True
4,429.mcf-22B,46.4604,473.astar-359B,90.1648,602.gcc_s-734B,9.0768,603.bwaves_s-1740B,19.8491,90.1648,True
5,403.gcc-16B,67.0077,410.bwaves-1963B,19.5947,429.mcf-22B,46.4604,445.gobmk-30B,3.7512,67.0077,True
6,403.gcc-16B,67.0077,450.soplex-92B,42.1928,483.xalancbmk-127B,33.4685,605.mcf_s-472B,60.2855,67.0077,True
7,445.gobmk-30B,3.7512,602.gcc_s-734B,9.0768,607.cactuBSSN_s-2421B,13.5293,620.omnetpp_s-141B,30.2597,30.2597,True
8,450.soplex-92B,42.1928,473.astar-359B,90.1648,602.gcc_s-734B,9.0768,620.omnetpp_s-141B,30.2597,90.1648,True
9,403.gcc-16B,67.0077,623.xalancbmk_s-10B,32.881,627.cam4_s-490B,16.977,649.fotonik3d_s-1176B,18.3358,67.0077,True
10,437.leslie3d-134B,9.3758,462.libquantum-714B,41.7372,473.astar-359B,90.1648,620.omnetpp_s-141B,30.2597,90.1648,True
11,436.cactusADM-1804B,6.7881,445.gobmk-30B,3.7512,456.hmmer-327B,5.3763,623.xalancbmk_s-10B,32.881,32.881,True
12,429.mcf-22B,46.4604,433.milc-127B,27.2323,462.libquantum-714B,41.7372,471.omnetpp-188B,38.5935,46.4604,True
13,433.milc-127B,27.2323,470.lbm-1274B,52.3128,605.mcf_s-472B,60.2855,649.fotonik3d_s-1176B,18.3358,60.2855,True
14,410.bwaves-1963B,19.5947,456.hmmer-327B,5.3763,621.wrf_s-6673B,21.2048,627.cam4_s-490B,16.977,21.2048,True
15,433.milc-127B,27.2323,471.omnetpp-188B,38.5935,481.wrf-196B,5.8633,602.gcc_s-734B,9.0768,38.5935,True
16,429.mcf-22B,46.4604,459.GemsFDTD-765B,13.148,602.gcc_s-734B,9.0768,628.pop2_s-17B,9.5708,46.4604,True
